name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-33.95,-46.53,380
I35_Sycamore_South,34.35,-97.13,-35.66,-46.83,380
Kansas_OK_Outcrop,36.2,-94.77,-35.36,-43.57,380
Hamsten_Unit_Core,36.82,-98.87,-32.86,-46.25,380
Bakken,50.75,-110.52,-16.96,-42.62,380
