name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-18.33,-43.95,349
I35_Sycamore_South,34.35,-97.13,-20.04,-44.2,349
Kansas_OK_Outcrop,36.2,-94.77,-19.75,-41.38,349
Hamsten_Unit_Core,36.82,-98.87,-17.23,-43.71,349
Bakken,50.75,-110.52,-1.36,-40.26,349
