name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-25.34,-45.43,359
I35_Sycamore_South,34.35,-97.13,-27.06,-45.66,359
Kansas_OK_Outcrop,36.2,-94.77,-26.71,-42.69,359
Hamsten_Unit_Core,36.82,-98.87,-24.24,-45.2,359
Bakken,50.75,-110.52,-8.3,-41.99,359
