name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-32.24,-46.36,375
I35_Sycamore_South,34.35,-97.13,-33.96,-46.63,375
Kansas_OK_Outcrop,36.2,-94.77,-33.64,-43.44,375
Hamsten_Unit_Core,36.82,-98.87,-31.15,-46.09,375
Bakken,50.75,-110.52,-15.24,-42.61,375
