name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-30.54,-46.2,370
I35_Sycamore_South,34.35,-97.13,-32.25,-46.45,370
Kansas_OK_Outcrop,36.2,-94.77,-31.92,-43.33,370
Hamsten_Unit_Core,36.82,-98.87,-29.44,-45.95,370
Bakken,50.75,-110.52,-13.51,-42.62,370
