name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-14.83,-43.19,344
I35_Sycamore_South,34.35,-97.13,-16.54,-43.45,344
Kansas_OK_Outcrop,36.2,-94.77,-16.28,-40.67,344
Hamsten_Unit_Core,36.82,-98.87,-13.74,-42.94,344
Bakken,50.75,-110.52,2.09,-39.34,344
