name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-9.58,-37.86,327
I35_Sycamore_South,34.35,-97.13,-11.31,-38.04,327
Kansas_OK_Outcrop,36.2,-94.77,-10.95,-35.35,327
Hamsten_Unit_Core,36.82,-98.87,-8.49,-37.65,327
Bakken,50.75,-110.52,7.46,-34.62,327
