name,modern LAT,modern LON,reconstructed LAT,reconstructed LON,age [Ma]
Shaffer-Rohling_Core,35.83,-98.23,-29.17,-46.09,366
I35_Sycamore_South,34.35,-97.13,-30.89,-46.33,366
Kansas_OK_Outcrop,36.2,-94.77,-30.54,-43.25,366
Hamsten_Unit_Core,36.82,-98.87,-28.07,-45.85,366
Bakken,50.75,-110.52,-12.13,-42.63,366
